iter	Passed	Remaining
387	1477	2330
388	1480	2325
389	1483	2320
390	1486	2315
391	1489	2309
392	1492	2304
393	1495	2299
394	1498	2294
395	1501	2290
396	1504	2285
397	1507	2280
398	1510	2275
399	1513	2270
400	1516	2265
401	1519	2260
402	1523	2256
403	1526	2251
404	1529	2246
405	1532	2241
406	1535	2236
407	1538	2231
408	1541	2227
409	1544	2222
410	1547	2217
411	1550	2213
412	1553	2208
413	1557	2204
414	1560	2199
415	1563	2194
416	1566	2189
417	1568	2184
418	1571	2179
419	1575	2175
420	1578	2171
421	1581	2166
422	1584	2161
423	1587	2156
424	1591	2152
425	1594	2148
426	1597	2143
427	1600	2138
