iter	Logloss
117	0.3252371369
118	0.325128241
119	0.3250029445
120	0.3248775986
121	0.3246832182
122	0.3245086153
123	0.3244094777
124	0.3243202382
125	0.3241750976
126	0.3241096541
127	0.3240636259
128	0.3239317899
129	0.3237806098
130	0.3235998565
131	0.3234707913
132	0.323192631
133	0.3230496488
134	0.3228945321
135	0.3227638503
136	0.3226622187
137	0.3225251485
138	0.3224758369
139	0.3223476606
140	0.3222633039
141	0.3220716743
142	0.3219446714
143	0.3218349676
144	0.3217124075
145	0.3216959094
146	0.3215697451
147	0.3214458879
148	0.3213645425
149	0.321244047
150	0.3211158611
151	0.3210241748
152	0.3208753302
153	0.3207933616
154	0.3207243776
155	0.3206447373
156	0.3205643393
157	0.3205337151
158	0.3204334825
159	0.3203106527
160	0.3202113745
161	0.3201147377
162	0.3200250551
163	0.3198961674
164	0.3197990579
165	0.3197005151
166	0.3195468314
167	0.3194945768
168	0.3194087248
169	0.3192492075
170	0.3191935285
171	0.3191037963
172	0.3189848372
173	0.3188325623
174	0.3187547869
175	0.3186915606
176	0.3185367796
177	0.3184557638
178	0.3183394678
179	0.3182535527
180	0.3180940384
181	0.3180239568
182	0.3179054391
183	0.317817568
184	0.3177539753
185	0.3176661534
186	0.3175656586
187	0.3174805281
188	0.317368984
189	0.3172498666
190	0.3171578246
191	0.3170990533
192	0.3170980404
193	0.3169876137
194	0.3168878115
195	0.3168187828
196	0.3167517705
197	0.3165882881
198	0.3164203825
199	0.3163738097
200	0.316317448
201	0.3162822608
202	0.3162210782
203	0.3161476236
204	0.3160839464
205	0.3159572062
206	0.3158748287
207	0.3158576716
208	0.3158199105
209	0.3157948457
210	0.315749085
211	0.3156939988
212	0.3155951819
213	0.3155208056
214	0.315384744
215	0.3152587025
216	0.3151519479
217	0.3150985965
218	0.3150278905
219	0.3149389301
220	0.3148297514
221	0.3146410393
222	0.314579176
223	0.3144842
224	0.3144369252
225	0.3143714639
226	0.3142787242
227	0.3141753137
228	0.3140977125
229	0.3140073049
230	0.3139614221
231	0.3138806194
232	0.3138139784
233	0.3136789584
234	0.3135890494
235	0.3134998755
236	0.3134176115
237	0.3133176823
238	0.3133172617
239	0.3132330155
240	0.3131423346
241	0.3130959954
242	0.3130159834
243	0.3128808577
244	0.3128041795
245	0.3127339394
246	0.312646089
247	0.3125775135
248	0.312490405
249	0.3124617188
250	0.3123410776
251	0.312267328
252	0.3122018212
253	0.3121329622
254	0.3120819987
255	0.3120257797
256	0.3119621687
257	0.3119603072
258	0.3119072565
259	0.311819318
260	0.3117286683
261	0.3116627889
262	0.3115720338
263	0.3115089109
264	0.3114351285
265	0.3114001542
266	0.3113310335
267	0.3112477604
268	0.3112060758
269	0.3111148531
270	0.3110491458
271	0.3109278318
272	0.3108459872
273	0.3107754027
274	0.3106264707
275	0.3105636188
276	0.3104790213
277	0.3104300487
278	0.3103279833
279	0.3102447479
280	0.3100638554
281	0.3099678567
282	0.3098893634
283	0.3098230825
284	0.3097669476
285	0.3096458204
286	0.3095903217
287	0.3094971134
288	0.3094354962
289	0.3093588189
290	0.3092044508
291	0.3091049945
292	0.3090510499
293	0.3089705815
294	0.308901271
295	0.30886949
296	0.3088234376
297	0.3087329604
298	0.3086246985
299	0.308585066
300	0.3084923347
301	0.3084295127
302	0.3083438012
303	0.3082560158
304	0.3081994803
305	0.3081370613
306	0.3080805892
307	0.3079271043
308	0.3078158395
309	0.307710449
310	0.3076147581
311	0.3075146382
312	0.3074342572
313	0.3073902849
314	0.3072716661
315	0.3071907844
316	0.3071076866
317	0.3070165154
318	0.3069280926
319	0.306832989
320	0.3067815923
321	0.3067423196
322	0.3067007526
323	0.3066680185
324	0.3065395589
325	0.3064841908
326	0.3064175525
327	0.3063630669
328	0.3063189957
329	0.3062298245
330	0.3061405034
331	0.3059814923
332	0.3059107122
333	0.3057664882
334	0.3056904154
335	0.3055981744
336	0.3055557519
337	0.305459583
338	0.3053871863
339	0.305317415
340	0.3052587259
341	0.3051611381
342	0.305079037
343	0.3050131914
344	0.3049674784
345	0.3048598265
346	0.3047740521
347	0.3046264505
348	0.304552026
349	0.3044333129
350	0.3042832873
351	0.3042003517
352	0.3041677675
353	0.304077376
354	0.3040071621
355	0.3039264154
356	0.3038479454
357	0.3038134157
358	0.3037493999
359	0.3036708557
360	0.3035771278
361	0.3035099766
362	0.3034321641
363	0.3033139996
364	0.3032528487
365	0.3031899404
366	0.3031442826
367	0.3030602667
368	0.303015262
369	0.3029455985
370	0.3028539477
371	0.30275416
372	0.3026996426
373	0.3026543868
374	0.3025636123
375	0.3024816582
376	0.30242271
377	0.3023562656
378	0.3023045864
379	0.302246405
380	0.3021635651
381	0.3020979146
382	0.3020567718
383	0.3019580637
384	0.3018662229
385	0.3018041975
386	0.301740882
387	0.3016795634
388	0.3016572278
389	0.3016023838
390	0.3015142241
391	0.3014679869
392	0.3013581732
393	0.3013109571
394	0.3012080995
395	0.3011419441
396	0.3010794031
397	0.3010005289
398	0.3008922423
399	0.3007515138
400	0.300681921
401	0.300625607
402	0.3005677282
403	0.3004908169
404	0.3004428636
405	0.3003939283
406	0.3002608566
407	0.3002228655
408	0.3001647157
409	0.3001087126
410	0.3000589977
411	0.3000005963
412	0.2999449859
413	0.2998601363
414	0.2997570473
415	0.2997012577
416	0.2996309719
417	0.2995666789
418	0.2995200081
419	0.2994620768
420	0.2993906722
421	0.299317426
422	0.2992697744
423	0.2992124788
424	0.2991697061
425	0.2991266378
426	0.2990803874
427	0.2989558197
428	0.2988954433
429	0.2988600905
430	0.2988040191
431	0.2987412713
432	0.2986762797
433	0.298624802
434	0.2985773249
435	0.2985176125
436	0.2984886845
437	0.2984080396
438	0.2983321585
439	0.2982776951
440	0.29821474
441	0.2981747231
442	0.2981081801
443	0.2979922098
444	0.2979170673
445	0.2978517827
446	0.2977963984
447	0.2977598076
448	0.2976932153
449	0.2976506817
450	0.297601278
451	0.2975632899
452	0.2975139748
453	0.2974612031
454	0.2974242344
455	0.2973206624
456	0.2972181779
457	0.2971710318
458	0.2970967862
459	0.2970190933
460	0.2969673028
461	0.2968986597
462	0.2968365767
463	0.2967911547
464	0.2967382262
465	0.296658669
466	0.2966007625
467	0.2965642286
468	0.2964900181
469	0.2964338847
470	0.2963825125
471	0.2963306061
472	0.2962392797
473	0.2961520488
474	0.2960875878
475	0.2960389095
476	0.2959622974
477	0.2958804564
478	0.2958124738
479	0.2957649459
480	0.2956757043
481	0.2956413898
482	0.2955653746
483	0.2955188061
484	0.2954612229
485	0.2954199641
486	0.2953492599
487	0.2953078548
488	0.2952590389
489	0.2952349785
490	0.2951626957
491	0.2951068192
492	0.2950574699
493	0.2950037291
494	0.2949413781
495	0.2949066735
496	0.2948625495
497	0.2947782348
498	0.2947497432
499	0.2946866353
500	0.2946342218
501	0.2945920792
502	0.2945486763
503	0.2945021192
504	0.2944590252
505	0.2944136957
506	0.2943696918
507	0.2943158424
508	0.2942834866
509	0.2942402672
510	0.2942019835
511	0.2941453316
512	0.2941053946
513	0.2940640637
514	0.2940288046
515	0.2939812011
516	0.2938932234
517	0.2938490398
518	0.2937970639
519	0.2937659974
520	0.2937325435
521	0.293660352
522	0.2936338726
523	0.2935847126
524	0.293564769
525	0.2935403819
526	0.293502464
527	0.2934758103
528	0.2934382192
529	0.2934078477
530	0.2933157493
531	0.2932620706
532	0.2932264061
533	0.2931844116
534	0.2931040146
535	0.2930556457
536	0.2929949833
537	0.2929338918
538	0.2929028712
539	0.2928339568
540	0.2927866174
541	0.2927470181
542	0.2926624839
543	0.2926225808
544	0.2926003632
545	0.2925336518
546	0.2924856009
547	0.2924326985
548	0.2923996234
549	0.2923406448
550	0.2922922198
551	0.2922668751
552	0.2922079432
553	0.2921315545
554	0.2920911951
555	0.2920078607
556	0.2919218748
557	0.2918775046
558	0.2918257518
559	0.2917746369
560	0.2917255151
561	0.2917012321
562	0.2916257392
563	0.29155174
564	0.2915158093
565	0.2914689227
566	0.2914072385
567	0.2913728988
568	0.2912895603
569	0.2912415942
570	0.291213563
571	0.2911744342
572	0.291149711
573	0.2910955969
574	0.2910358775
575	0.2910070055
576	0.2909602365
577	0.2909243011
578	0.2908517419
579	0.2907862509
580	0.2907328188
581	0.2906810765
582	0.2906430909
583	0.2905839414
584	0.2905231583
585	0.290452185
586	0.2904179164
587	0.2903446634
588	0.2902753324
589	0.2902153113
590	0.290182823
591	0.2901330464
592	0.2900854939
593	0.2900547881
594	0.2900240513
595	0.2899777264
596	0.2899244637
597	0.2899000772
598	0.2898398802
599	0.2897840572
600	0.2897389265
601	0.2896932292
602	0.2896196605
603	0.2895651074
604	0.2894943562
605	0.2894460838
606	0.289396768
607	0.289353489
608	0.2893178168
609	0.2892661247
610	0.2892322579
611	0.2891821801
612	0.2891422453
613	0.2890663832
614	0.2890296982
615	0.2890002628
616	0.2889673441
617	0.2889469579
618	0.288917754
619	0.2888812779
620	0.2888299162
621	0.2887697854
622	0.2887133792
623	0.2886661504
624	0.2886208688
625	0.2885646017
626	0.2884961673
627	0.28843471
628	0.2883850029
629	0.2883389305
630	0.288297467
631	0.2882530652
632	0.2881972872
633	0.2881517589
634	0.2881083143
635	0.2880760803
636	0.2880132262
637	0.2879818604
638	0.2879253308
639	0.2878782627
640	0.2878234692
641	0.2877887384
642	0.2877210304
643	0.2876914153
644	0.2876560806
645	0.2875984376
646	0.2875796166
647	0.2875597866
648	0.2875132213
649	0.2874489739
650	0.2874001849
651	0.2873366456
652	0.2872811343
653	0.2872300474
654	0.2871831175
655	0.2871514849
656	0.2871185355
657	0.2870975506
658	0.2870666025
659	0.2870398264
660	0.2869985298
661	0.2869486106
662	0.2868749882
663	0.2868056166
664	0.2867601957
665	0.2867200762
666	0.2866939251
667	0.2866623969
668	0.2866254733
669	0.286587216
670	0.2865037407
671	0.2864680967
672	0.2863947582
673	0.2863647653
674	0.2863285154
675	0.2862760967
676	0.2862024847
677	0.2861097562
678	0.2860817419
679	0.2860335069
680	0.2859832389
681	0.2859482267
682	0.2858602156
683	0.2858080477
684	0.2857651518
685	0.2857400156
686	0.2856858277
687	0.2856542082
688	0.2856101646
689	0.2855648511
690	0.285499945
691	0.2854498661
692	0.2854040789
693	0.2853613084
694	0.2852923556
695	0.28524982
696	0.2852256806
697	0.2851827117
698	0.2851323498
699	0.2850670738
700	0.2850162758
701	0.2849916183
702	0.2849450772
703	0.2848838531
704	0.2848442117
705	0.2848198948
706	0.2847580183
707	0.2847088974
708	0.2846648701
709	0.2846163424
710	0.2845818784
711	0.2845535229
712	0.2844741559
713	0.2844155066
714	0.2843727739
715	0.2843259838
716	0.2843022624
717	0.284263665
718	0.2841880263
719	0.2841328336
720	0.2840848171
721	0.2840361662
722	0.2839859543
723	0.2839400216
724	0.2839113437
725	0.2838784013
726	0.2838257951
727	0.2837516341
728	0.283697532
729	0.2836440385
730	0.2836009124
731	0.2835236907
732	0.2834762683
733	0.283445211
734	0.283375998
735	0.2833556073
736	0.283289211
737	0.2832435413
738	0.2831954837
739	0.2831442902
740	0.2831150154
741	0.2830933809
742	0.28302319
743	0.2829823196
744	0.2829535675
745	0.2829103037
746	0.282866393
747	0.2828429503
748	0.2827914474
749	0.2827632733
750	0.2827400893
751	0.2826982548
752	0.2826654582
753	0.2826138406
754	0.2825741313
755	0.2825557135
756	0.2825309895
757	0.2824474199
758	0.2823750089
759	0.2823476083
760	0.2823003169
761	0.2822514687
762	0.2822271534
763	0.2821901928
764	0.2821490248
765	0.2821089765
766	0.2820644992
767	0.2820325583
768	0.2819738853
769	0.2819421259
770	0.2818961723
771	0.2818774851
772	0.2818396367
773	0.2817974412
774	0.2817487253
775	0.2816984593
776	0.2816274479
777	0.2815937406
778	0.2815609083
779	0.2815163778
780	0.2814808857
781	0.2814628921
782	0.2814159963
783	0.2813872727
784	0.2813570113
785	0.2812913011
786	0.2812411991
787	0.2811922923
788	0.281132541
789	0.2810864903
790	0.28104906
791	0.2810101039
792	0.2809720753
793	0.2809347932
794	0.2808921679
795	0.2808647365
796	0.2808074131
797	0.2807615642
798	0.2807303637
799	0.2806901084
800	0.28065144
801	0.2806087357
802	0.280560887
803	0.2805332572
804	0.2804994815
805	0.2804639665
806	0.2804036968
807	0.2803392678
808	0.2802900611
809	0.2802434123
810	0.2801975613
811	0.2801503592
812	0.2801287122
813	0.280084141
814	0.2800553406
815	0.2799919256
816	0.2799391252
817	0.279920959
818	0.2798868908
819	0.2798715388
820	0.279830555
821	0.2797820535
822	0.2797147438
823	0.2796669322
824	0.2796491291
825	0.2795600111
826	0.2795290003
827	0.2795078521
828	0.279459026
829	0.2794130754
830	0.2793883259
831	0.2793530274
832	0.2793180515
833	0.2792871805
834	0.2792167719
835	0.2791524596
836	0.2791282
837	0.2790843925
838	0.2790584217
839	0.2790343597
840	0.2790080168
841	0.278974902
842	0.2789416777
843	0.2789071419
844	0.2788719963
845	0.2788285825
846	0.2787944441
847	0.2787530602
848	0.2787139212
849	0.2786668691
850	0.2786312274
851	0.2786073351
852	0.2785872809
853	0.2785418535
854	0.278480038
855	0.2784307519
856	0.2783623519
857	0.2783218065
858	0.2782872089
859	0.2782464916
860	0.2782279626
861	0.2781873204
862	0.2781598099
863	0.2781418292
864	0.2781140564
865	0.2780835958
866	0.2780326464
867	0.278004638
868	0.277950872
869	0.2779003647
870	0.2778723451
871	0.2778355721
872	0.2777758042
873	0.2777074097
874	0.2776065358
875	0.2775749783
876	0.2774957702
877	0.2774569903
878	0.2774092247
879	0.2773502205
880	0.2772986571
881	0.2772620614
882	0.2772373437
883	0.2771909689
884	0.2771640756
885	0.2771362798
886	0.2770875803
887	0.2770573448
888	0.2770148726
889	0.2769968256
890	0.2769288059
891	0.2768827905
892	0.2768218242
893	0.2767892821
894	0.2767517309
895	0.2767025678
896	0.2766860921
897	0.276660489
898	0.2766283842
899	0.2765741886
900	0.2765346809
901	0.276489503
902	0.2764528959
903	0.2764332196
904	0.2763928175
905	0.2763687053
906	0.2763563476
907	0.2763148487
908	0.2762776954
909	0.2762591061
910	0.2762044502
911	0.2761646275
912	0.2761138528
913	0.2760835792
914	0.2760441838
915	0.276000857
916	0.2759541992
917	0.275932967
918	0.2758785652
919	0.2758136743
920	0.2757791371
921	0.2757371371
922	0.2756963828
923	0.2756638263
924	0.2756361127
925	0.2755876259
926	0.2755664825
927	0.2755492425
928	0.2755091031
929	0.2754812424
930	0.2754317586
931	0.2753681189
932	0.2753111916
933	0.2752550749
934	0.2752181293
935	0.2751712092
936	0.27514019
937	0.2750932679
938	0.2750726809
939	0.2750478734
940	0.2750073274
941	0.2749764826
942	0.2749330398
943	0.2749129614
944	0.2748659329
945	0.2748206499
946	0.2747886167
947	0.2747497209
948	0.2747116298
949	0.2746558599
950	0.2746025808
951	0.2745623043
952	0.2745239312
953	0.2744739677
954	0.2743801698
955	0.2743640914
956	0.274328787
957	0.2742271189
958	0.2742033902
959	0.2741772348
960	0.2741474641
961	0.2740966564
962	0.2740809232
963	0.2740531833
964	0.2740155847
965	0.2739968712
966	0.2739647543
967	0.2739415796
968	0.2739211084
969	0.2738846619
970	0.2738339064
971	0.2737996572
972	0.2737554079
973	0.2736961507
974	0.2736808065
975	0.2736237783
976	0.2735977837
977	0.2735680096
978	0.2735422224
979	0.2734851658
980	0.2734512596
981	0.2734218483
982	0.2733972645
983	0.2733617044
984	0.2733162373
985	0.2732836188
986	0.2732417532
987	0.2731903253
988	0.2731458706
989	0.2731037661
990	0.2730567578
991	0.273024773
992	0.2729856575
993	0.2729633551
994	0.2729101712
995	0.2728658032
996	0.2728254919
997	0.2727921726
998	0.2727551153
999	0.2727377274
